timestamp,dni_W_m2,solar_power_W,solar_power_raw_W,solar_power_effective_W,solar_power_curtailed_W,solar_power_kW,solar_power_absorbed_kW,solar_power_available_W,m_col_vol_flow_m3s,m_col_use_m3s,m_ctes_use_m3s,m_ctes_charge_use_m3s,m_ctes_discharge_avail_m3s,m_recirc_m3s,m_oil_hex_m3s,htf_in_temp_C,hex_inlet_temp_C,mix_target_C,collector_t_out_C,oil_out_C,water_out_C,provided_W,provided_kW,solar_contribution_W,solar_to_factory_kW,ctes_contribution_W,ctes_to_factory_kW,remaining_solar_W,required_oil_in_C,hex_temp_sufficient,factory_load_W,factory_load_kW,operation_mode,net_power_W,ctes_energy_J,ctes_energy_MWh,ctes_soc_pct,ctes_inlet_temp_C,ctes_temp_C,concrete_T_z0_C,concrete_T_z_mid_C,concrete_T_z_max_C,provided_from_ctes_W,provided_from_ctes_kW,backup_heater_W,backup_heater_kW,tolerated_deficit_W,tolerated_deficit_cumulative_MWh,ctes_loss_cumulative_MWh,ctes_current_loss_kW,ctes_charge_htf_W,ctes_charge_inferred_W,ctes_charge_input_W,ctes_discharge_output_W,ctes_balance_residual_state_W,ctes_balance_residual_with_loss_W,hex_flow_balance_m3s,T_con_avg_K,ex_stored_J,dex_stored_dt_W,Q_loss_W,X_loss_W,ex_in_W,ex_out_W,ex_dest_W,config
2026-07-12 03:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.79822806979843,161.79822806979843,182.0,,161.79822806979843,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,213069141288.20947,59.18587258005819,41.68689708968552,,,227.05789733259144,212.4617477633951,164.7526783189607,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-2.557997898528784,-85.52636495678938,0.0,2847.4508679425344,0.0,0.0,-82678.91408884684,2847.4508679425344,0.0,469.0552878257761,120931762901.10062,-32701.056888275147,85526.36495678937,32074.12907368073,0.0,0.0,626.9278145944154,standby
2026-07-12 03:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.79822806979843,161.79822806979843,182.0,,161.79822806979843,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,213019538887.4501,59.17209413540281,41.67719239869482,,,227.03823251968524,212.44353874939785,164.7392275817262,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-2.572250870996066,-85.51783480369402,0.0,2847.1668714125262,0.0,0.0,-82670.66793228149,2847.1668714125262,0.0,469.0387300507057,120912145349.51749,-32695.91930521647,85517.83480369402,32069.043336105104,0.0,0.0,626.8759691113664,standby
2026-07-12 04:00:00+00:00,11.475,35606.23649999999,35606.23649999999,35606.23649999999,0.0,35.606236499999994,35.606236499999994,35606.23649999999,0.000103107016419,0.000103107016419,0.0,0.0,0.0,0.0002538018865699,0.0003569089029889,136.0,182.0,182.0,310.0,136.0,120.45735664560074,42096.89402776516,42.09689402776516,42096.89402776516,42.09689402776516,0.0,0.0,0.0,2640.9606182106936,False,1840878.2044686407,1840.878204468641,B*,-1798781.310440876,212969941433.8912,59.15831706496978,41.667488675622025,,,227.01856966813568,212.4253315515262,164.72577818597512,0.0,0.0,1798781.310440876,1798.781310440876,0.0,0.0,-2.586502421912988,-85.50930550153515,0.0,2846.8829033702787,0.0,0.0,-82662.42259816488,2846.8829033702787,0.0,469.0221739270554,120892530880.03555,-32690.782469889324,85509.30550153516,32063.95834898544,0.0,0.0,626.8241209038824,standby
2026-07-12 04:10:00+00:00,89.283,277039.79202,277039.79202,277039.79202,0.0,277.03979202,277.03979202,277039.79202,0.0006840573757306,0.0006840573757306,0.0,0.0,0.0,0.00168383354026,0.0023678909159907,136.0,182.0,182.0,310.0,136.0,123.03430549761146,279289.3428126147,279.2893428126147,279289.3428126147,279.2893428126147,0.0,0.0,0.0,530.5546563091435,False,1840878.2044686407,1840.878204468641,B*,-1561588.8616560264,212920348927.03915,59.14454136862199,41.65778592037055,,,226.99890877774715,212.40712616959905,164.71233013157357,0.0,0.0,1561588.8616560264,1561.5888616560264,0.0,0.0,-2.600752551421359,-85.50077705022785,0.0,2846.5989634765574,0.0,0.0,-82654.1780867513,2846.5989634765574,0.0,469.00561945466035,120872919492.2065,-32685.646381759645,85500.77705022786,32058.874112224083,0.0,0.0,626.7722695355624,standby
2026-07-12 04:20:00+00:00,220.844,685265.6813599999,685265.6813599999,685265.6813599999,0.0,685.2656813599999,685.2656813599999,685265.6813599999,0.0016920350692277,0.0016920350692277,0.0,0.0,0.0,0.0041650094011759,0.0058570444704036,136.0,182.00000000000003,182.0,310.0,136.0,127.5054395944861,690830.0082222715,690.8300082222714,690830.0082222715,690.8300082222714,0.0,0.0,0.0,307.4252747606875,False,1840878.2044686407,1840.878204468641,B*,-1150048.1962463695,212870761366.4005,59.13076704622237,41.64808413284386,,,226.979249848324,212.3889226034352,164.69888341838782,0.0,0.0,1150048.1962463695,1150.0481962463698,0.0,0.0,-2.615001259662974,-85.4922494496872,0.0,2846.3150519516057,0.0,0.0,-82645.93439773559,2846.3150519516057,0.0,468.9890666333559,120853311185.58147,-32680.51104171753,85492.2494496872,32053.79062572341,0.0,0.0,626.7204159941211,standby
2026-07-12 04:30:00+00:00,355.265,1102365.9791,1102365.9791,1102365.9791,0.0,1102.3659790999998,1102.3659790999998,1102365.9791,0.0027219251547209,0.0027219251547209,0.0,0.0,0.0,0.0067001234577746,0.0094220486124955,136.0,182.0,182.0,310.0,136.0,132.07377151987424,1111317.1418335354,1111.3171418335353,1111317.1418335354,1111.3171418335353,0.0,0.0,0.0,250.13075698210992,False,1840878.2044686407,1840.878204468641,B*,-729561.0626351058,212821178751.48184,59.11699409763384,41.63838331294542,,,226.9595928796705,212.3707208528536,164.68543804628408,0.0,0.0,729561.0626351058,729.5610626351058,0.0,0.0,-2.6292485467796123,-85.48372269982828,0.0,2846.031168710513,0.0,0.0,-82637.69153111776,2846.031168710513,0.0,468.9725154629773,120833705959.71225,-32675.376448694864,85483.72269982827,32048.707889385798,0.0,0.0,626.668559309066,standby
2026-07-12 04:40:00+00:00,472.395,1465813.3413,1465813.3413,1465813.3413,0.0,1465.8133413,1465.8133413,1465813.3413,0.0036193372087438,0.0036193372087438,0.0,0.0,0.0,0.0089091377446003,0.0125284749533442,136.0,182.0,182.0,310.0,136.0,136.05446440581252,1477715.6804538942,1477.7156804538945,1477715.6804538942,1477.7156804538945,0.0,0.0,0.0,226.79110358756816,False,1840878.2044686407,1840.878204468641,B*,-363162.524014747,212771601081.78983,59.103222522719406,41.62868346057872,,,226.93993787159116,212.352520917673,164.6719940151286,0.0,0.0,363162.524014747,363.162524014747,0.0,0.0,-2.64349441291304,-85.47519680056617,0.0,2845.747313922693,0.0,0.0,-82629.44948664347,2845.747313922693,0.0,468.95596594335984,120814103814.15057,-32670.242602793376,85475.19680056616,32043.625903113625,0.0,0.0,626.616699679751,standby
2026-07-12 04:50:00+00:00,569.685,1767698.3738999995,1767698.3738999998,1767698.3738999995,2.3283064365386963e-10,1767.6983738999998,1767.6983738999995,1767698.3738999998,0.0043647416203881,0.0043647416203881,0.0,0.0,0.0,0.0107439793732631,0.0151087209936512,136.0,182.0,182.0,310.0,136.0,139.36088983800698,1782052.0060952737,1782.0520060952736,1782052.0060952737,1782.0520060952736,0.0,0.0,0.0,214.7014988620892,False,1840878.2044686407,1840.878204468641,B*,-58826.19837336754,212722028356.8312,59.089452321342,41.61898457564722,,,226.92028482389023,212.3343227977124,164.65855132478765,0.0,0.0,58826.19837336754,58.826198373367546,0.0,0.0,-2.657738858205009,-85.46667175181595,0.0,2845.4634873506293,0.0,0.0,-82621.20826446533,2845.4634873506293,0.0,468.9394180743389,120794504748.44785,-32665.10950454712,85466.67175181596,32038.5446668093,0.0,0.0,626.5648377378202,standby
2026-07-12 05:00:00+00:00,649.69,2015949.0886,2015949.0886,1840878.2044686407,175070.88413135894,2015.9490886,2015.9490886,2015949.0886,0.0049777139706152,0.0045454348070607,0.0,0.0004322791635545,0.0,0.0112796148568149,0.0158250496638756,136.74845110633285,182.0,182.0,310.0,136.0,140.0,1840878.2044686407,1840.878204468641,1840878.2044686407,1840.878204468641,0.0,0.0,0.0,212.04434659317437,True,1840878.2044686407,1840.878204468641,B,0.0,212276314172.562,58.96564282571166,41.53178076368878,310.0,164.14805054875174,228.5521402091317,212.21723033447307,164.56638255891863,0.0,0.0,0.0,0.0,0.0,0.0,-2.671970737119635,-85.39127348775088,0.0,0.0,0.0,0.0,-742856.9737819926,-657465.7002942417,0.0,469.7092613840251,121012592589.71677,363479.7354482015,85391.27348775088,32097.77071717612,65561.82932982605,19960.4115407022,0.0,charging
2026-07-12 05:10:00+00:00,715.718,2220830.01092,2220830.01092,1840878.2044686407,379951.8064513586,2220.83001092,2220.8300109199995,2220830.01092,0.0055070249720571,0.0049563224748514,0.0,0.0005507024972057,0.03,0.0160436775251485,0.021,141.8530108707945,183.4208844395748,182.0,310.0,141.25383376022222,140.0,1840878.2044686407,1840.878204468641,1840878.2044686407,1840.878204468641,0.0,0.0,0.0,198.16888674577177,True,1840878.2044686407,1840.878204468641,B,0.0,212193869905.12384,58.94274164031218,41.51565057387551,310.0,164.70149873104975,231.256838035232,212.18356153123975,164.5487046492406,0.0,0.0,0.0,0.0,0.0,0.0,-2.686200500702212,-85.37858149546354,0.0,0.0,0.0,0.0,-137407.11239690144,-52028.5309014379,0.0,471.05277134223627,121518688215.77328,843492.7100941975,85378.58149546354,32244.978026626522,83522.56175483491,25601.211145077606,0.0,charging
